Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
124,429.000461475,0.0174690249999685,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
125,429.07585645,0.0753949749999947,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
126,429.08328805,0.007431600000018079,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,23,,,,,,,,,
127,429.1294571,0.04616905000000315,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
128,429.15282755,0.02337045000001581,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
129,429.183636975,0.03080942500002948,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,26,,,,,,,,,
130,429.24158925,0.05795227499993416,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
131,429.317164675,0.07557542500001091,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,03,29,,,,,,,,,
132,429.319590675,0.002426000000014028,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
133,429.33276195,0.0131712749999906,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
134,429.39585175,0.06308980000005704,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
135,429.47125075,0.07539899999994759,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
136,429.534644625,0.06339387499997429,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
137,429.548085825,0.01344119999998838,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
