Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
8951,714.602657925,0.0004982000000381959,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8952,714.677251,0.07459307499993884,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8953,714.6841105249999,0.006859524999981659,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,BB,,,,,,,,,
8954,714.764735225,0.08062470000004396,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8955,714.783479825,0.0187445999999909,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,B2,,,,,,,,,
8956,714.794181225,0.01070140000001629,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
8957,714.8499155249999,0.05573429999992641,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8958,714.883806725,0.03389120000008461,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,B0,,,,,,,,,
8959,714.9019512249999,0.01814449999994849,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,09,B0,00,00,01,22,07,01,,,
8960,714.9022153249999,0.0002640999999812266,294669183614976,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,6C,0C,2C,3C,19,99,,,
8961,714.902449425,0.0002341000000569693,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,23,13,45,,,
8962,714.9179282,0.0154787750000196,362838904537088,F,F,HS CAN $441,HS CAN,,441,F,F,07,D1,00,EE,14,02,20,00,,,
8963,714.9248639,0.006935699999985445,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8964,714.9841769,0.05931299999997464,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,A8,,,,,,,,,
8965,714.9937322999999,0.009555399999953806,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
8966,714.9996580999999,0.005925799999999981,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8967,715.07430715,0.07464905000006183,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8968,715.0834604749999,0.009153324999942924,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,AA,,,,,,,,,
8969,715.160819375,0.07735890000003565,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8970,715.1838214749999,0.02300209999998515,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,9D,,,,,,,,,
8971,715.19329295,0.009471475000054852,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
8972,715.2450195749999,0.05172662499990111,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8973,715.3189387,0.07391912500008857,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8974,715.3332997,0.01436100000000806,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,92,,,,,,,,,
8975,715.3939297249999,0.06063002499990944,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
8976,715.3946797999999,0.0007500750000417611,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8977,715.469394775,0.07471497500000623,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8978,715.5545215,0.08512672500000917,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,92,,,,,,,,,
8979,715.5557976,0.00127610000004097,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8980,715.5935492249999,0.03775162499994167,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
8981,715.6410340499999,0.04748482499996953,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8982,715.65482505,0.01379100000008293,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,85,,,,,,,,,
8983,715.7149631249999,0.06013807499994073,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8984,715.7552197,0.04025657500005764,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,7F,,,,,,,,,
8985,715.789739575,0.03451987500000086,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8986,715.7933093749999,0.003569799999922907,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
8987,715.8545362499999,0.06122687499998847,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,77,,,,,,,,,
8988,715.8654616499999,0.01092540000001918,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8989,715.951863925,0.08640227500006858,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8990,715.954969725,0.003105799999957526,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,75,,,,,,,,,
8991,715.9730023249999,0.01803259999996954,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,09,75,00,00,01,15,07,01,,,
8992,715.9732684249999,0.000266099999976177,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,6C,0C,2C,3C,19,99,,,
8993,715.9735085249999,0.0002401000000418208,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,28,13,45,,,
8994,715.989085325,0.01557680000007622,422212532436992,F,F,HS CAN $441,HS CAN,,441,F,F,07,D1,00,EE,14,02,20,62,,,
8995,715.9936269499999,0.004541624999887972,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
8996,716.037104225,0.04347727500010024,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8997,716.055228825,0.01812459999996463,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,70,,,,,,,,,
8998,716.1120629999999,0.05683417499994903,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
8999,716.1545554999999,0.04249249999998028,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,65,,,,,,,,,
9000,716.1868874749999,0.03233197500003371,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9001,716.1932530749999,0.006365599999980986,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
9002,716.254907875,0.06165480000004209,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,69,,,,,,,,,
9003,716.261507575,0.006599700000037956,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9004,716.348029875,0.08652229999995598,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9005,716.392864975,0.04483510000000024,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
9006,716.43355635,0.04069137500005126,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9007,716.48148035,0.04792399999996633,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,56,,,,,,,,,
9008,716.508204675,0.02672432500003197,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9009,716.5839336749999,0.07572899999991023,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9010,716.59235715,0.008423475000086,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
9011,716.6586488749999,0.06629172499992819,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9012,716.745413075,0.08676420000006146,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9013,716.7512088,0.005795724999984486,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9014,716.7513408999999,0.000132099999973434,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9015,716.751473025,0.0001321250000501095,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9016,716.75160505,0.0001320249999707812,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9017,716.75173725,0.0001322000000527623,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9018,716.751869275,0.0001320249999707812,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9019,716.7520014749999,0.0001321999999390755,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9020,716.7521335,0.000132025000084468,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9021,716.7522657,0.0001321999999390755,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9022,716.7523977249999,0.0001320249999707812,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9023,716.752529925,0.0001322000000527623,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9024,716.7526619499999,0.0001320249999707812,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9025,716.752794175,0.000132225000015751,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9026,716.7529262749999,0.000132099999973434,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9027,716.7530583749999,0.000132099999973434,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9028,716.7531905,0.0001321250000501095,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9029,716.7533225249999,0.0001320249999707812,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9030,716.753454725,0.0001322000000527623,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9031,716.75358675,0.0001320249999707812,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9032,716.75371895,0.0001322000000527623,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9033,716.753850975,0.0001320249999707812,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9034,716.7539831749999,0.0001321999999390755,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9035,716.7541152,0.000132025000084468,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9036,716.7542473999999,0.0001321999999390755,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9037,716.792964925,0.03871752500003822,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
9038,716.829342525,0.03637760000003709,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9039,716.84878095,0.01943842499997572,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,48,,,,,,,,,
9040,716.90325945,0.05447849999995924,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9041,716.9480916499999,0.04483219999997346,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,3E,,,,,,,,,
9042,716.9779617749999,0.02987012500000219,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9043,716.9925768749999,0.01461510000001454,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
9044,717.0484702,0.05589332500005639,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,35,,,,,,,,,
9045,717.0536719749999,0.00520177499993224,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9046,717.14013625,0.08646427500002574,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9047,717.14880765,0.008671400000025642,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,38,,,,,,,,,
9048,717.16080275,0.01199510000003556,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,09,38,00,00,01,15,07,01,,,
9049,717.16106685,0.0002640999999812266,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,6C,0C,2C,3C,19,99,,,
9050,717.1613069499999,0.0002400999999281339,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,28,13,45,,,
9051,717.17688575,0.01557880000007117,67371008,F,F,HS CAN $441,HS CAN,,441,F,F,07,D1,00,EE,14,02,20,62,,,
9052,717.1921147749999,0.01522902499993961,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
9053,717.2253406499999,0.03322587499997098,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9054,717.2480909249999,0.02275027500002124,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,2C,,,,,,,,,
9055,717.2993736,0.05128267500003858,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9056,717.3740065999999,0.07463299999994888,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9057,717.3927454999999,0.01873890000001666,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
9058,717.448785875,0.05604037500006598,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9059,717.529148975,0.08036309999999958,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,1A,,,,,,,,,
9060,717.53628065,0.007131674999982351,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9061,717.592326975,0.05604632500001117,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
9062,717.62142905,0.02910207499996886,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9063,717.626980775,0.005551725000032093,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,1A,,,,,,,,,
9064,717.69646825,0.06948747499995989,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9065,717.726285825,0.02981757500003823,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,11,,,,,,,,,
9066,717.7711888,0.04490297500001361,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9067,717.7918695249999,0.02068072499992013,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
9068,717.826678725,0.03480920000004062,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,0A,,,,,,,,,
9069,717.8458875,0.01920877500003826,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
9070,717.922752425,0.07686492499999531,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9071,717.9270202499999,0.004267824999942604,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,09,04,,,,,,,,,
9072,717.993637875,0.06661762500004897,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9073,718.000469575,0.006831700000020646,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9074,718.02633755,0.02586797499998284,284773578964992,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,FD,,,,,,,,,
9075,718.07891805,0.05258049999997638,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9076,718.1266701249999,0.04775207499994849,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,F7,,,,,,,,,
9077,718.1544722499999,0.0278021249999938,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9078,718.19473765,0.04026540000006662,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9079,718.227016975,0.03227932499999042,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,EF,,,,,,,,,
9080,718.228770975,0.001754000000005362,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9081,718.2318188749999,0.003047899999955916,284773578964992,F,F,HS CAN $43E,HS CAN,,43E,F,F,08,EF,00,00,01,15,07,01,,,
9082,718.2320789749999,0.0002600999999913256,431008625459200,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,6C,A4,2C,3C,19,4C,,,
9083,718.232313075,0.0002341000000569693,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,33,2B,13,45,,,
9084,718.24776585,0.01545277499997155,503576392892416,F,F,HS CAN $441,HS CAN,,441,F,F,07,ED,00,EA,14,02,23,00,,,
9085,718.3039842249999,0.05621837499995763,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9086,718.3797092249999,0.07572500000003402,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9087,718.3965122249999,0.01680299999998169,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9088,718.4570222499999,0.06051002499998503,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9089,718.5351755749999,0.07815332500001659,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,DF,,,,,,,,,
9090,718.5426772,0.007501625000031709,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9091,718.5963097,0.05363250000004882,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9092,718.6140723,0.0177625999999691,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,DF,,,,,,,,,
9093,718.6303412999999,0.01626899999996567,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9094,718.714424075,0.08408277500006989,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,D7,,,,,,,,,
9095,718.7187239,0.004299824999975499,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9096,718.793855025,0.07513112499998442,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9097,718.797410925,0.003555900000037582,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9098,718.8147835999999,0.01737267499993322,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,D4,,,,,,,,,
9099,718.8712959249999,0.0565123249999715,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9100,718.914122325,0.04282640000008086,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,C8,,,,,,,,,
9101,718.9471502,0.03302787500001614,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9102,718.997347025,0.0501968249999436,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9103,719.0144677,0.01712067500000103,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,C4,,,,,,,,,
9104,719.0381302,0.02366250000000036,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9105,719.1131352,0.07500500000003285,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9106,719.114815175,0.001679975000001832,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,C1,,,,,,,,,
9107,719.191276175,0.07646099999999478,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9108,719.19844385,0.007167675000005147,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9109,719.214132675,0.01568882499998381,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,B9,,,,,,,,,
9110,719.2796722749999,0.0655395999999655,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9111,719.301858575,0.02218630000004396,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,08,B9,00,00,01,15,07,01,,,
9112,719.302120675,0.0002620999999862761,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,6C,A4,2C,3C,19,4C,,,
9113,719.302362775,0.0002421000000367712,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,2C,13,45,,,
9114,719.3178075,0.01544472499995209,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,07,ED,00,EA,14,02,24,00,,,
9115,719.3216512749999,0.003843774999950256,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,B6,,,,,,,,,
9116,719.355455175,0.03380390000006628,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9117,719.39902435,0.043569175000016,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9118,719.439679725,0.04065537500002847,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9119,719.5146847249999,0.07500499999991916,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9120,719.58938385,0.07469912500005194,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9121,719.59956525,0.01018139999996492,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9122,719.6100185499999,0.01045329999999467,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,A3,,,,,,,,,
9123,719.6645428749999,0.05452432499998849,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9124,719.69641035,0.03186747500001274,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,A3,,,,,,,,,
9125,719.7429793499999,0.04656899999997677,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9126,719.7967347499999,0.05375540000000001,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,9E,,,,,,,,,
9127,719.7996246499999,0.002889900000013768,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9128,719.8200014499999,0.02037680000000819,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9129,719.8954205,0.07541905000005045,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9130,719.89606655,0.0006460500000002867,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,97,,,,,,,,,
9131,719.9705596499999,0.07449309999992693,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9132,719.99642955,0.02586990000008882,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,95,,,,,,,,,
9133,720.000719475,0.004289924999966388,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9134,720.0556378,0.05491832500001692,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9135,720.096740375,0.04110257499996806,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,91,,,,,,,,,
9136,720.13738985,0.04064947500000926,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9137,720.1960867749999,0.05869692499993562,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,8E,,,,,,,,,
9138,720.2006467,0.004559925000080511,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9139,720.2141039249999,0.01345722499991098,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9140,720.2898289249999,0.07572500000003402,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9141,720.364827925,0.074999000000048,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9142,720.3760552,0.0112272750000102,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,89,,,,,,,,,
9143,720.401615525,0.02556032500001492,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9144,720.45322025,0.05160472499994739,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9145,720.5345428749999,0.08132262499998433,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9146,720.55608505,0.02154217500003597,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,08,89,00,00,01,04,07,01,,,
9147,720.5563432499999,0.0002581999999620166,294669183614976,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,6D,3D,2C,3C,19,4C,,,
9148,720.55658535,0.0002421000000367712,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,2C,13,45,,,
9149,720.5720101749999,0.01542482499996822,363938416164864,F,F,HS CAN $441,HS CAN,,441,F,F,08,04,00,EF,14,02,26,00,,,
9150,720.5760677999999,0.004057624999973086,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,89,,,,,,,,,
9151,720.6020602,0.02599240000006376,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9152,720.6122096749999,0.01014947499993468,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9153,720.676332175,0.06412250000005315,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,7C,,,,,,,,,
9154,720.6880635499999,0.01173137499995392,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9155,720.766370375,0.07830682500002695,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9156,720.7766676499999,0.0102972749999708,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,74,,,,,,,,,
9157,720.8031559499999,0.0264882999999827,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9158,720.851152825,0.04799687500008076,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9159,720.8760107249999,0.02485789999991539,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,6E,,,,,,,,,
9160,720.9329050499999,0.05689432500003022,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,00,,,,,,,,,
9161,720.9763653499999,0.04346029999999246,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,6B,,,,,,,,,
9162,721.0029597499999,0.02659440000002178,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,64,64,,,,,,,,,
9163,721.0097933249999,0.00683357499997328,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,05,10,,,,,,,,,
9164,721.0767057249999,0.06691239999997833,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,08,65,,,,,,,,,
