Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
4974,43.606738125,0.07431922500001065,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4975,43.610452,0.00371387499998832,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,B0,BA,,,,,,,,,
4976,43.6316643,0.02121230000000196,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,5C,,,,,,,,,
4977,43.682011,0.05034670000000574,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4978,43.73098689999999,0.04897589999998786,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,59,,,,,,,,,
4979,43.75750732499999,0.02652042500000107,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4980,43.81121774999998,0.05371042499999135,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,AF,BB,,,,,,,,,
4981,43.83131025000002,0.02009250000003249,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,55,,,,,,,,,
4982,43.84923912500001,0.01792887499999552,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4983,43.867861725,0.01862259999998628,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0A,55,00,01,01,2A,07,01,,,
4984,43.86813182499999,0.0002700999999944998,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,82,19,2C,3C,1E,11,,,
4985,43.86836992500001,0.0002381000000184486,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,9A,D9,11,45,,,
4986,43.88402864999999,0.01565872499998022,422212532436992,F,F,HS CAN $441,HS CAN,,441,F,F,09,87,05,8E,14,0C,38,62,,,
4987,43.93167265000001,0.04764400000001956,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,55,,,,,,,,,
4988,43.93896635,0.007293699999991077,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4989,44.01323337499998,0.07426702499998328,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,AE,BC,,,,,,,,,
4990,44.01674335,0.003509975000014265,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4991,44.03098232500001,0.01423897500001203,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,53,,,,,,,,,
4992,44.09228832499998,0.06130599999997344,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4993,44.13136705000001,0.0390787250000244,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,50,,,,,,,,,
4994,44.17801602499999,0.04664897499998233,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4995,44.21515972499999,0.03714370000000144,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,AD,BD,,,,,,,,,
4996,44.231710425,0.01655070000001046,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,54,,,,,,,,,
4997,44.26323839999999,0.03152797499998883,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4998,44.33832149999999,0.07508310000000051,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
4999,44.407197675,0.06887617500001397,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,50,,,,,,,,,
5000,44.4134074,0.00620972499999084,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5001,44.41712127500002,0.003713875000016742,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,AE,BC,,,,,,,,,
5002,44.48824270000002,0.07112142500000118,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5003,44.56392162499999,0.07567892499997697,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5004,44.60034072500001,0.03641910000001758,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,50,,,,,,,,,
5005,44.61774565,0.01740492499999391,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,AD,BD,,,,,,,,,
5006,44.65577112500002,0.03802547500001196,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5007,44.70067345,0.04490232499998114,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,50,,,,,,,,,
5008,44.744824625,0.0441511749999961,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5009,44.79999012500001,0.0551655000000153,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,50,,,,,,,,,
5010,44.81913295,0.01914282499998876,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,9D,C8,,,,,,,,,
5011,44.82264275000002,0.003509800000017549,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5012,44.898089875,0.07544712499998241,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5013,44.900341875,0.002251999999998588,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,4F,,,,,,,,,
5014,44.93588884999998,0.03554697499998838,327654532448256,F,F,HS CAN $43E,HS CAN,,43E,F,F,0A,4F,00,02,01,26,07,01,,,
5015,44.93616095,0.000272100000017872,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,82,19,2C,3C,1E,11,,,
5016,44.93639904999999,0.0002380999999900268,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,D4,11,45,,,
5017,44.951969825,0.01557077500001469,492581276614656,F,F,HS CAN $441,HS CAN,,441,F,F,09,87,05,8E,14,0C,3A,00,,,
5018,44.984469825,0.03249999999999886,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5019,45.000710625,0.0162407999999914,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,56,,,,,,,,,
5020,45.0181156,0.01740497500000515,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,9C,C8,,,,,,,,,
5021,45.06968020000001,0.05156460000000607,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5022,45.1000197,0.03033949999999664,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,4F,,,,,,,,,
5023,45.16203370000001,0.0620140000000049,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5024,45.20034260000001,0.03830890000000408,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,4F,,,,,,,,,
5025,45.218863375,0.01852077499998472,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,9C,C8,,,,,,,,,
5026,45.23972809999999,0.02086472499999559,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5027,45.31468507500001,0.07495697500002052,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5028,45.39036410000001,0.07567902499999946,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5029,45.39995557499999,0.009591474999979254,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,53,,,,,,,,,
5030,45.420688175,0.02073260000000232,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,9C,C8,,,,,,,,,
5031,45.465635275,0.04494710000000168,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5032,45.547639875,0.08200460000000476,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5033,45.62182507500002,0.07418520000001649,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,9D,C8,,,,,,,,,
5034,45.625334975,0.00350989999998319,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5035,45.68633989999999,0.06100492499999177,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,52,,,,,,,,,
5036,45.701083,0.014743100000004,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5037,45.78648732500001,0.08540432500001316,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5038,45.79218902499998,0.005701699999974608,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,52,,,,,,,,,
5039,45.82373109999999,0.03154207500000439,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,9D,C8,,,,,,,,,
5040,45.8716879,0.04795680000000857,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5041,45.89256827499999,0.02088037499999018,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,5C,,,,,,,,,
5042,45.94686470000001,0.05429642500001819,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5043,45.991847075,0.04498237499998936,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,5C,,,,,,,,,
5044,46.021933175,0.03008610000000544,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5045,46.02565105000001,0.003717875000006643,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,A0,C8,,,,,,,,,
5046,46.09224544999999,0.0665943999999854,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,5A,,,,,,,,,
5047,46.10051295000001,0.008267500000016526,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5048,46.12670882499999,0.02619587499998488,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0A,5A,00,02,01,26,07,01,,,
5049,46.126972925,0.0002641000000096483,431008625459200,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,82,B2,2C,3C,1E,5D,,,
5050,46.12721102499999,0.0002380999999900268,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,D4,11,45,,,
5051,46.14278180000001,0.01557077500001469,360639881281536,F,F,HS CAN $441,HS CAN,,441,F,F,09,87,05,9D,14,0C,3B,00,,,
5052,46.17652970000002,0.03374790000000872,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5053,46.192594575,0.01606487499998366,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,5D,,,,,,,,,
5054,46.227028275,0.0344336999999939,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,A1,C8,,,,,,,,,
5055,46.26504975000002,0.03802147500002206,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5056,46.29289565000001,0.02784589999998844,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,5D,,,,,,,,,
5057,46.35408765000001,0.06119200000000546,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5058,46.42827877500001,0.07419112499999869,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,A0,C8,,,,,,,,,
5059,46.43178257500001,0.003503800000004276,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5060,46.50723169999999,0.07544912499997736,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5061,46.59285000000001,0.08561830000002146,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5062,46.593074125,0.0002241249999883621,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,60,,,,,,,,,
5063,46.63009185,0.03701772499999834,282574555709440,F,F,HS CAN $31A,HS CAN,,31A,F,F,A1,C8,,,,,,,,,
5064,46.67804675000001,0.04795490000000768,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5065,46.680986675,0.002939924999992627,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,60,,,,,,,,,
5066,46.75652370000002,0.07553702500001691,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5067,46.7813177,0.02479399999998577,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,5D,,,,,,,,,
5068,46.83079650000001,0.04947880000000282,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,8A,,,,,,,,,
5069,46.83430840000001,0.003511900000006562,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5070,46.88068657499998,0.04637817499997254,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,69,,,,,,,,,
5071,46.91317447499999,0.03248790000000668,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5072,46.980990775,0.06781630000000405,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,69,,,,,,,,,
5073,46.9889764,0.007985625000003438,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5074,47.032743575,0.04376717499999927,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,87,,,,,,,,,
5075,47.07407887500001,0.04133530000001428,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5076,47.08138045,0.007301574999985405,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,68,,,,,,,,,
5077,47.16309894999999,0.08171849999999381,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5078,47.18067172500001,0.01757277500001919,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,68,,,,,,,,,
5079,47.20085602499999,0.02018429999998261,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0A,68,00,02,01,26,07,01,,,
5080,47.201120125,0.0002641000000096483,294669183614976,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,83,97,2C,3C,1E,5D,,,
5081,47.20135822499999,0.0002380999999900268,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,C8,11,45,,,
5082,47.21688300000001,0.01552477500001714,398023276625920,F,F,HS CAN $441,HS CAN,,441,F,F,09,8A,05,AD,14,0D,00,00,,,
5083,47.23471802499999,0.01783502499998235,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,87,,,,,,,,,
5084,47.23822782500001,0.003509800000017549,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5085,47.28106232500001,0.04283449999999789,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,72,,,,,,,,,
5086,47.31710215,0.03603982499998892,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5087,47.40271839999998,0.08561624999998685,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5088,47.43625222499999,0.03353382500000634,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,84,,,,,,,,,
5089,47.487812925,0.05156070000001023,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5090,47.55859292499999,0.07077999999998497,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,76,,,,,,,,,
5091,47.56289475000001,0.004301825000027293,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5092,47.63686597499999,0.07397122499997977,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,84,,,,,,,,,
5093,47.64037177499999,0.003505799999999226,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5094,47.655816675,0.01544490000000564,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,76,,,,,,,,,
5095,47.71621875000001,0.06040207500001316,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5096,47.756179375,0.03996062499999198,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,76,,,,,,,,,
5097,47.792017075,0.03583770000000186,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5098,47.85265707500001,0.06064000000000647,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,83,,,,,,,,,
5099,47.85649297499999,0.003835899999984349,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,76,,,,,,,,,
5100,47.87381185,0.01731887500000084,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5101,47.94856102500002,0.07474917500002221,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5102,47.955828525,0.007267499999983329,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,79,,,,,,,,,
5103,48.02433995,0.06851142499999696,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5104,48.05456012500001,0.03022017500001084,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,82,,,,,,,,,
5105,48.05620212499998,0.001641999999975496,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,79,,,,,,,,,
5106,48.109564725,0.05336260000001403,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5107,48.156528825,0.04696409999999673,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,76,,,,,,,,,
5108,48.19500039999998,0.03847157499998844,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5109,48.2553344,0.06033400000001166,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,83,,,,,,,,,
5110,48.25582455000001,0.0004901500000187298,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,7C,,,,,,,,,
5111,48.276038875,0.02021432499998354,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0A,7C,00,02,01,26,07,01,,,
5112,48.27629897499999,0.0002600999999913256,294669183614976,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,84,2F,2C,3C,1E,5D,,,
5113,48.27653517500001,0.0002362000000175612,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,67,D6,11,45,,,
5114,48.29217385,0.01563867499999105,433207648714752,F,F,HS CAN $441,HS CAN,,441,F,F,09,8B,05,B8,14,0D,00,62,,,
5115,48.29348595,0.001312100000006922,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5116,48.38283205,0.08934610000000021,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5117,48.43302387500002,0.05019182500001307,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,78,,,,,,,,,
5118,48.45713834999999,0.02411447499997621,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,81,,,,,,,,,
5119,48.46065215,0.00351380000000745,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5120,48.53639517500001,0.0757430250000084,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5121,48.621707575,0.08531239999999229,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5122,48.62854317499999,0.006835599999988062,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,78,,,,,,,,,
5123,48.65895930000001,0.03041612500001634,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,82,,,,,,,,,
5124,48.7069082,0.04794889999999441,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5125,48.72789659999999,0.02098839999999314,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,78,,,,,,,,,
5126,48.799255825,0.07135922500000902,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5127,48.82822560000001,0.0289697750000073,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,7C,,,,,,,,,
5128,48.85968957499999,0.03146397499997988,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,75,,,,,,,,,
5129,48.89771515,0.03802557500000603,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5130,48.92858657500001,0.03087142500001505,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,7C,,,,,,,,,
5131,48.98675477499999,0.05816819999998302,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5132,49.02793735000002,0.04118257500002187,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,7F,,,,,,,,,
5133,49.06105922499999,0.03312187499997776,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,73,,,,,,,,,
5134,49.06456720000001,0.003507975000019314,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5135,49.12825987499998,0.06369267499997022,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,7C,,,,,,,,,
5136,49.140009175,0.0117493000000195,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5137,49.22571147499998,0.08570229999997991,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5138,49.22862535,0.002913875000018606,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,7F,,,,,,,,,
5139,49.26295917500001,0.03433382500000448,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,73,,,,,,,,,
5140,49.31091414999999,0.04795497499998191,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5141,49.40315597499999,0.0922418250000021,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5142,49.463488075,0.06033210000001077,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,73,,,,,,,,,
5143,49.501511675,0.03802360000000249,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5144,49.50862925,0.007117574999995213,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,78,,,,,,,,,
5145,49.53624294999999,0.0276136999999892,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,0A,78,00,02,01,2B,07,01,,,
5146,49.53650705,0.0002641000000096483,431008625459200,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,84,C8,2C,3C,1E,F6,,,
5147,49.53674515000002,0.0002381000000184486,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,E8,11,45,,,
5148,49.55216795,0.01542279999998186,503576392892416,F,F,HS CAN $441,HS CAN,,441,F,F,09,88,05,CB,14,0D,03,00,,,
5149,49.59118937500001,0.0390214250000156,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5150,49.60644417499999,0.0152547999999797,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,78,,,,,,,,,
5151,49.66547237499999,0.0590282000000002,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,75,,,,,,,,,
5152,49.668986175,0.00351380000000745,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5153,49.70575125000001,0.03676507500000526,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,7C,,,,,,,,,
5154,49.74454272499999,0.03879147499998226,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5155,49.80609952499999,0.0615568000000053,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,75,,,,,,,,,
5156,49.83028602500001,0.02418650000001321,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5157,49.8674276,0.0371415749999926,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,76,,,,,,,,,
5158,49.90648850000001,0.03906090000000972,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,75,,,,,,,,,
5159,49.91538402499999,0.008895524999985582,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5160,49.990547025,0.07516300000000342,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5161,50.00576392500001,0.01521690000001286,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,78,,,,,,,,,
5162,50.067827925,0.06206399999999235,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,76,,,,,,,,,
5163,50.07134172499998,0.003513799999979028,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5164,50.10614292499999,0.03480120000000398,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,75,,,,,,,,,
5165,50.14718832500002,0.04104540000002998,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5166,50.20649340000001,0.05930507499999749,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,72,,,,,,,,,
5167,50.22298439999999,0.01649099999997361,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5168,50.28030257500002,0.05731817500003444,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,76,,,,,,,,,
5169,50.30146327500002,0.02116069999999581,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5170,50.30581109999999,0.004347824999967998,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,72,,,,,,,,,
5171,50.37621657500002,0.07040547500002958,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5172,50.45188950000001,0.07567292499999212,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5173,50.482105675,0.03021617499999252,283674067337216,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,77,,,,,,,,,
5174,50.53698609999999,0.05488042499999324,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5175,50.62230047499999,0.08531437499999583,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,00,0A,6B,,,,,,,
5176,50.630897875,0.008597400000013522,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0A,73,,,,,,,,,
5177,50.664745075,0.03384719999999674,283674067337216,F,F,HS CAN $43E,HS CAN,,43E,F,F,0A,73,00,02,01,2B,07,01,,,
5178,50.68304400000001,0.01829892500001051,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,77,,,,,,,,,
