Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
37,-113.107042025,0.03842967499998906,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
38,-113.046169125,0.06087290000000678,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,70,,,,,,,,,
39,-113.0218586,0.02431052500000419,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
40,-112.945815,0.07604359999999133,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,77,,,,,,,,,
41,-112.936797525,0.00901747500000738,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
42,-112.8524449,0.08435262499999396,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
43,-112.845453425,0.006991475000006631,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,73,,,,,,,,,
44,-112.767286425,0.07816699999999344,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
45,-112.74612605,0.021160375000008,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,75,,,,,,,,,
46,-112.682118275,0.06400777499999322,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
47,-112.59784565,0.08427262499999699,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
48,-112.51278325,0.08506239999999821,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
49,-112.464673125,0.048110125000008,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,78,,,,,,,,,
50,-112.42429775,0.04037537499999644,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
51,-112.36624645,0.05805130000000247,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,78,,,,,,,,,
52,-112.33990215,0.0263443000000052,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
53,-112.26589635,0.07400579999999479,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7A,,,,,,,,,
54,-112.254840975,0.01105537499999798,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
55,-112.166492675,0.08834830000000693,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,00,10,0A,C3,,,,,,,
56,-112.1655586,0.0009340749999893206,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,83,,,,,,,,,
57,-112.134101175,0.03145742499999926,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,83,00,00,00,FE,07,01,,,
58,-112.133841075,0.0002601000000055364,294669183614976,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,50,08,2C,3C,08,76,,,
59,-112.133604975,0.0002360999999950764,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,9A,61,13,45,,,
60,-112.1179621,0.0156428749999975,437605695225856,F,F,HS CAN $441,HS CAN,,441,F,F,0A,7F,01,04,14,0A,14,62,,,
61,-112.081558375,0.03640372500001376,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
62,-112.06625555,0.01530282499999203,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7A,,,,,,,,,
63,-112.047678675,0.01857687500000793,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,97,31,,,,,,,,,
64,-111.993850075,0.05382859999998857,297967718498304,F,F,HS CAN $777,HS CAN,,777,F,F,01,10,0B,AB,,,,,,,
