GPS Date,8/4/2016,,,,,,,,,,,,,,,,,,,,,,,
GPS Time,21:35:19,,,,,,,,,,,,,,,,,,,,,,,
speedK,0.1,,,,,,,,,,,,,,,,,,,,,,,
speedI,0.3,,,,,,,,,,,,,,,,,,,,,,,
speedD,0,,,,,,,,,,,,,,,,,,,,,,,
angleK,4,,,,,,,,,,,,,,,,,,,,,,,
angleI,0.3,,,,,,,,,,,,,,,,,,,,,,,
angleD,25,,,,,,,,,,,,,,,,,,,,,,,
mode,1,,,,,,,,,,,,,,,,,,,,,,,
compassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
CANcompassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
fixPointLat,44.39710999,,,,,,,,,,,,,,,,,,,,,,,
fixPointLon,-110.5308838,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
3876787,257.72,257,273.73,132.2,257.47,89.369,-1.053,-1.208,-2,2.2,2.15,2.3,2.23,0,48,132,148,44.39551163,-110.5326538,9.1,41.77,0,3876537,10
3876837,257.77,257,273.73,132.2,257.56,89.397,-0.893,-1.149,-1,2.2,2.15,2.3,2.23,0,48,131,149,44.39551163,-110.5326538,9.1,41.77,0,3876587,10
3876887,257.82,257,273.73,132.6,257.64,89.425,-0.912,-1.104,0,2.2,2.15,2.3,2.22,0,48,130,150,44.39551163,-110.5326538,9.1,41.77,0,3876637,10
3876937,257.87,257,273.73,132.6,257.73,89.455,-0.847,-1.055,1,2.2,2.15,2.3,2.22,0,48,129,151,44.39551163,-110.5326538,9.1,41.77,0,3876687,10
3876987,257.92,251.5,273.73,132.6,257.8,89.485,-0.779,-1,2,2.2,2.15,2.3,2.22,0,48,128,152,44.39551163,-110.5326538,9.1,41.77,0,3876737,10
3877037,257.97,251.5,273.73,132.6,257.88,89.516,-0.729,-0.946,3,2.2,2.15,2.3,2.22,0,48,127,153,44.39551163,-110.5326538,9.1,41.77,0,3876787,10
3877087,258.02,251.5,273.73,132.4,257.95,89.549,-0.718,-0.9,4,2.2,2.15,2.3,2.21,0,48,126,154,44.39551163,-110.5326538,9.1,41.77,0,3876837,10
3877137,258.07,251.5,273.73,132.4,258,89.584,-0.74,-0.867,5,2.2,2.15,2.3,2.21,0,48,125,155,44.39551163,-110.5326538,9.1,41.77,0,3876887,10
3877187,258.12,246.2,273.73,132.8,258.06,89.621,-0.637,-0.818,6,2.2,2.15,2.3,2.21,0,48,124,156,44.39551163,-110.5326538,9.1,41.77,0,3876937,10
3877237,258.17,246.2,273.73,132.8,258.1,89.661,-0.74,-0.798,7,2.2,2.15,2.3,2.21,0,48,123,157,44.39551163,-110.5326538,9.1,41.77,0,3876987,10
3877287,258.22,246.2,273.73,133.4,258.15,89.702,-0.718,-0.777,7,2.2,2.15,2.3,2.2,0,48,123,157,44.39551163,-110.5326538,9.1,41.77,0,3877037,10
3877337,258.27,246.2,273.73,133.4,258.18,89.751,-0.733,-0.763,8,2.2,2.15,2.3,2.2,0,48,122,158,44.39551163,-110.5326614,9.1,41.77,0,3877087,10
3877387,258.32,254.8,273.73,133.2,258.21,89.799,-0.817,-0.772,8,2.2,2.15,2.3,2.2,0,48,122,158,44.39551163,-110.5326614,9.1,41.77,0,3877137,10
3877437,258.37,254.8,273.73,133.2,258.24,89.847,-0.897,-0.794,7,2.2,2.15,2.3,2.2,0,48,123,157,44.39551163,-110.5326614,9.1,41.77,0,3877187,10
3877487,258.42,254.8,273.73,133.6,258.26,89.894,-0.931,-0.818,7,2.2,2.15,1.15,2.19,0,48,123,157,44.39551163,-110.5326614,9.1,41.77,0,3877237,10
3877537,258.47,254.8,273.73,133.6,258.29,89.939,-0.92,-0.835,6,2.2,2.15,1.15,2.19,0,48,124,156,44.39551163,-110.5326614,9.1,41.77,0,3877287,10
3877587,258.52,252.5,273.73,133.1,258.29,89.984,-1.149,-0.891,5,2.2,2.15,1.15,2.19,0,48,125,155,44.39551163,-110.5326614,9.1,41.77,0,3877337,10
3877637,258.57,252.5,273.73,133.1,258.3,90.027,-1.206,-0.948,4,2.2,2.15,1.15,2.19,0,48,126,154,44.39551163,-110.5326614,9.1,41.77,0,3877387,10
3877687,258.62,252.5,273.73,133.4,258.31,90.069,-1.24,-1,3,2.2,2.15,1.15,2.19,0,48,127,153,44.39551163,-110.5326614,9.1,41.77,0,3877437,10
3877737,258.67,252.5,273.73,133.4,258.35,90.109,-1.145,-1.024,2,2.2,2.15,1.15,2.19,0,48,128,152,44.39551163,-110.5326614,9.1,41.77,0,3877487,10
3877787,258.72,251.5,276.59,133.5,258.36,90.148,-1.301,-1.073,1,2.2,2.15,1.15,2.18,0,48,129,151,44.39551163,-110.5326614,9.1,41.77,0,3877537,10
3877837,258.77,251.5,276.59,133.5,258.39,90.184,-1.29,-1.111,0,2.2,2.15,1.15,2.18,0,48,130,150,44.39551163,-110.5326614,9.1,41.77,0,3877587,10
3877887,258.82,251.5,276.59,133.3,258.43,90.219,-1.271,-1.137,0,2.2,2.15,1.15,2.18,0,48,130,150,44.39551163,-110.5326614,9.1,41.77,0,3877637,10
3877937,258.87,251.5,276.59,133.3,258.46,90.253,-1.355,-1.175,0,2.2,2.15,1.15,2.18,0,48,130,150,44.39551163,-110.5326614,9.1,41.77,0,3877687,10
3877987,258.92,254.1,276.59,133.3,258.5,90.285,-1.328,-1.202,-1,2.2,2.15,1.15,2.18,0,48,131,149,44.39551163,-110.5326614,9.1,41.77,0,3877737,10
3878037,258.97,254.1,276.59,133.3,258.53,90.322,-1.385,-1.234,-2,2.2,2.15,1.15,2.18,0,48,132,148,44.39551163,-110.5326614,9.1,41.77,0,3877787,10
3878087,259.02,254.1,276.59,133.9,258.59,90.356,-1.305,-1.245,-2,2.2,2.15,1.15,2.18,0,48,132,148,44.39551163,-110.5326614,9.1,41.77,0,3877837,10
3878137,259.07,254.1,276.59,133.9,258.63,90.389,-1.431,-1.278,-3,2.2,2.15,1.15,2.18,0,48,133,147,44.39551163,-110.5326691,9.1,41.77,0,3877887,10
3878187,259.12,252,276.59,133.3,258.68,90.42,-1.378,-1.294,-3,2.2,2.15,1.15,2.17,0,48,133,147,44.39551163,-110.5326691,9.1,41.77,0,3877937,10
3878237,259.17,252,276.59,133.3,258.72,90.45,-1.42,-1.314,-3,2.2,2.15,1.15,2.17,0,48,133,147,44.39551163,-110.5326691,9.1,41.77,0,3877987,10
3878287,259.22,252,276.59,133.7,258.76,90.479,-1.557,-1.356,-4,2.2,2.15,1.15,2.17,0,48,134,146,44.39551163,-110.5326691,9.1,41.77,0,3878037,10
3878337,259.27,252,276.59,133.7,258.81,90.506,-1.53,-1.386,-5,2.2,2.15,1.15,2.17,0,48,135,145,44.39551163,-110.5326691,9.1,41.77,0,3878087,10
3878387,259.32,250.9,276.59,133.9,258.85,90.534,-1.614,-1.425,-6,2.2,2.15,1.15,2.17,0,48,136,144,44.39551163,-110.5326691,9.1,41.77,0,3878137,10
3878437,259.37,250.9,276.59,133.9,258.9,90.561,-1.587,-1.452,-7,2.2,2.15,1.15,2.17,0,48,137,143,44.39551163,-110.5326691,9.1,41.77,0,3878187,10
3878487,259.42,250.9,276.59,133.7,258.95,90.588,-1.618,-1.479,-7,2.2,2.15,1.15,2.17,0,48,137,143,44.39551163,-110.5326691,9.1,41.77,0,3878237,10
3878537,259.47,250.9,276.59,133.7,259,90.615,-1.626,-1.503,-8,2.2,2.15,1.15,2.17,0,48,138,142,44.39551163,-110.5326691,9.1,41.77,0,3878287,10
3878587,259.52,254.3,276.59,134.3,259.06,90.643,-1.595,-1.518,-8,2.2,2.15,1.15,2.17,0,48,138,142,44.39551163,-110.5326691,9.1,41.77,0,3878337,10
3878637,259.57,254.3,276.59,134.3,259.13,90.665,-1.568,-1.525,-9,2.2,2.15,1.15,2.17,0,48,139,141,44.39551163,-110.5326691,9.1,41.77,0,3878387,10
3878687,259.62,254.3,276.59,133.9,259.2,90.69,-1.549,-1.527,-9,2.2,2.15,1.15,2.17,0,48,139,141,44.39551163,-110.5326691,9.1,41.77,0,3878437,10
3878737,259.67,254.3,276.59,133.9,259.28,90.714,-1.515,-1.523,-9,2.2,2.15,1.15,2.17,0,48,139,141,44.39551163,-110.5326767,9.1,41.77,0,3878487,10
3878787,259.72,254.8,278.79,134.3,259.35,90.74,-1.523,-1.52,-9,2.2,2.16,1.15,2.17,0,48,139,141,44.39551163,-110.5326767,9.1,41.77,0,3878538,10
3878837,259.77,254.8,278.79,134.3,259.43,90.764,-1.439,-1.503,-8,2.2,2.16,1.15,2.17,0,48,138,142,44.39551163,-110.5326767,9.1,41.77,0,3878587,10
3878887,259.82,254.8,278.79,134.3,259.51,90.789,-1.439,-1.489,-8,2.2,2.16,1.15,2.17,0,48,138,142,44.39551163,-110.5326767,9.1,41.77,0,3878637,10
3878937,259.87,254.8,278.79,134.3,259.59,90.812,-1.366,-1.463,-8,2.2,2.16,1.15,2.17,0,48,138,142,44.39551163,-110.5326767,9.1,41.77,0,3878687,10
3878987,259.92,257.9,278.79,134.7,259.67,90.835,-1.442,-1.459,-8,2.2,2.16,1.15,2.16,0,48,138,142,44.39551163,-110.5326767,9.1,41.77,0,3878737,10
3879037,259.97,257.9,278.79,134.7,259.75,90.856,-1.358,-1.439,-7,2.2,2.16,1.15,2.16,0,48,137,143,44.39551163,-110.5326767,9.1,41.77,0,3878787,10
3879087,260.02,257.9,278.79,134.7,259.83,90.876,-1.397,-1.43,-7,2.2,2.16,1.15,2.16,0,48,137,143,44.39551163,-110.5326767,9.1,41.77,0,3878837,10
3879137,260.07,257.9,278.79,134.7,259.9,90.9,-1.366,-1.417,-7,2.2,2.16,1.15,2.16,0,48,137,143,44.39551163,-110.5326767,9.1,41.77,0,3878888,10
3879187,260.12,254,278.79,135.6,259.97,90.92,-1.381,-1.408,-7,2.2,2.16,1.15,2.16,0,48,137,143,44.39551163,-110.5326767,9.1,41.77,0,3878937,10
3879237,260.17,254,278.79,135.6,260.04,90.938,-1.362,-1.396,-7,2.2,2.16,1.15,2.16,0,48,137,143,44.39551163,-110.5326767,9.1,41.77,0,3878987,10
3879287,260.22,254,278.79,135.6,260.11,90.952,-1.362,-1.387,-6,2.2,2.16,1.15,2.16,0,48,136,144,44.39551163,-110.5326767,9.1,41.77,0,3879037,10
3879337,260.27,254,278.79,135.6,260.18,90.964,-1.355,-1.378,-6,2.2,2.16,1.15,2.16,0,48,136,144,44.39551163,-110.5326767,9.1,41.77,0,3879087,10
3879387,260.32,254.3,278.79,136,260.26,90.973,-1.252,-1.351,-6,2.2,2.16,1.15,2.16,0,48,136,144,44.39551163,-110.5326767,9.1,41.77,0,3879137,10
3879437,260.37,254.3,278.79,136,260.34,90.979,-1.179,-1.316,-5,2.2,2.16,1.15,2.16,0,48,135,145,44.39551163,-110.5326767,9.1,41.77,0,3879187,10
3879487,260.42,254.3,278.79,136,260.43,90.983,-1.111,-1.275,-4,2.2,2.16,1.15,2.16,0,48,134,146,44.39551163,-110.5326767,9.1,41.77,0,3879237,10
3879537,260.47,254.3,278.79,136,260.51,90.985,-1.072,-1.234,-3,2.2,2.16,1.15,2.16,0,48,133,147,44.39551163,-110.5326843,9.1,41.77,0,3879287,10
3879587,260.52,262.1,278.79,136,260.6,90.986,-0.977,-1.186,-2,2.2,2.16,1.15,2.16,0,48,132,148,44.39551163,-110.5326843,9.1,41.77,0,3879337,10
3879637,260.57,262.1,278.79,135.6,260.68,90.987,-0.939,-1.14,-1,2.2,2.16,1.15,2.16,0,48,131,149,44.39551163,-110.5326843,9.1,41.77,0,3879387,10
3879687,260.62,262.1,278.79,135.8,260.77,90.986,-0.828,-1.082,0,2.2,2.16,1.15,2.16,0,48,130,150,44.39551163,-110.5326843,9.1,41.77,0,3879437,10
3879737,260.67,262.1,278.79,135.8,260.86,90.986,-0.802,-1.03,0,2.2,2.16,1.15,2.16,0,48,130,150,44.39551163,-110.5326843,9.1,41.77,0,3879487,10
3879787,260.72,255.8,274.12,135.6,260.93,90.987,-0.752,-0.976,2,2.2,2.29,1.15,2.16,0,48,128,152,44.39551163,-110.5326843,9.1,41.77,0,3879537,10
3879837,260.77,255.8,274.12,135.6,261,90.988,-0.794,-0.939,2,2.2,2.29,1.15,2.17,0,48,128,152,44.39551163,-110.5326843,9.1,41.77,0,3879587,10
3879887,260.82,255.8,274.12,135.6,261.07,90.991,-0.721,-0.896,3,2.2,2.29,1.15,2.17,0,48,127,153,44.39551163,-110.5326843,9.1,41.77,0,3879637,10
3879937,260.87,255.8,274.12,135.6,261.12,90.996,-0.794,-0.874,4,2.2,2.29,1.15,2.18,0,48,126,154,44.39551163,-110.532692,9.1,41.77,0,3879687,10
3879987,260.92,257,274.12,135.6,261.16,91.003,-0.843,-0.866,4,2.2,2.29,1.15,2.18,0,48,126,154,44.39551163,-110.532692,9.1,41.77,0,3879737,10
3880037,260.97,257,274.12,135.4,261.21,91.011,-0.817,-0.855,4,2.2,2.29,1.15,2.19,0,48,126,154,44.39551163,-110.532692,9.1,41.77,0,3879787,10
3880087,261.02,257,274.12,135.4,261.25,91.02,-0.87,-0.856,5,2.2,2.29,1.15,2.19,0,48,125,155,44.39551163,-110.532692,9.1,41.77,0,3879837,10
3880137,261.07,257,274.12,135.4,261.29,91.029,-0.832,-0.849,5,2.2,2.29,1.15,2.2,0,48,125,155,44.39551163,-110.532692,9.1,41.77,0,3879887,10
3880187,261.12,257.5,274.12,135.4,261.33,91.04,-0.859,-0.849,5,2.2,2.29,1.15,2.2,0,48,125,155,44.39551163,-110.532692,9.1,41.77,0,3879937,10
3880237,261.17,257.5,274.12,135.8,261.37,91.05,-0.866,-0.851,5,2.2,2.29,1.15,2.21,0,48,125,155,44.39551163,-110.532692,9.1,41.77,0,3879987,10
3880287,261.22,257.5,274.12,135.8,261.41,91.061,-0.866,-0.852,5,2.2,2.29,1.15,2.21,0,48,125,155,44.39551163,-110.532692,9.1,41.77,0,3880037,10
3880337,261.27,257.5,274.12,135.8,261.43,91.073,-0.985,-0.875,4,2.2,2.29,1.15,2.21,0,48,126,154,44.39551544,-110.532692,9.1,41.77,0,3880087,10
3880387,261.32,258.5,274.12,135.8,261.48,91.085,-0.859,-0.87,4,2.2,2.29,1.15,2.22,0,48,126,154,44.39551544,-110.532692,9.1,41.77,0,3880137,10
3880437,261.37,258.5,274.12,135.6,261.51,91.099,-0.916,-0.878,4,2.2,2.29,1.15,2.22,0,48,126,154,44.39551544,-110.532692,9.1,41.77,0,3880187,10
3880487,261.42,258.5,274.12,135.6,261.54,91.112,-0.996,-0.898,4,2.2,2.29,1.15,2.22,0,48,126,154,44.39551544,-110.532692,9.1,41.77,0,3880237,10
3880537,261.47,258.5,274.12,136,261.58,91.127,-0.985,-0.913,4,2.2,2.29,1.15,2.23,0,48,126,154,44.39551544,-110.5326996,9.1,41.77,0,3880287,10
3880587,261.52,256.4,274.12,136,261.61,91.141,-0.992,-0.926,3,2.2,2.29,1.15,2.23,0,48,127,153,44.39551544,-110.5326996,9.1,41.77,0,3880337,10
3880637,261.57,256.4,274.12,135.6,261.73,91.152,-0.138,-0.775,7,2.2,2.29,1.15,2.23,0,48,123,157,44.39551544,-110.5326996,9.1,41.77,0,3880387,10
3880687,261.62,256.4,274.12,135.6,261.73,91.164,-1.202,-0.853,5,2.2,2.29,1.15,2.23,0,48,125,155,44.39551544,-110.5326996,9.1,41.77,0,3880437,10
3880737,261.67,256.4,274.12,135.6,261.72,91.179,-1.252,-0.925,4,2.2,2.29,1.15,2.24,0,48,126,154,44.39551544,-110.5326996,9.1,41.77,0,3880487,10
3880787,261.72,260.2,274.12,135.6,261.73,91.195,-1.336,-1.002,2,2.2,2.29,1.15,2.24,0,48,128,152,44.39551544,-110.5326996,9.1,41.77,0,3880537,10
3880837,261.77,260.2,274.12,136.2,261.74,91.212,-1.32,-1.061,0,2.2,2.29,1.15,2.24,0,48,130,150,44.39551544,-110.5326996,9.1,41.77,0,3880587,10
3880887,261.82,260.2,274.12,136.2,261.75,91.23,-1.53,-1.148,-1,2.2,2.29,1.15,2.24,0,48,131,149,44.39551544,-110.5326996,9.1,41.77,0,3880637,10
3880937,261.87,260.2,274.12,136.2,261.77,91.247,-1.469,-1.208,-2,2.2,2.29,1.15,2.25,0,48,132,148,44.39551544,-110.5326996,9.1,41.77,0,3880687,10
3880987,261.92,254.8,274.12,136.2,261.79,91.265,-1.568,-1.272,-3,2.2,2.29,1.15,2.25,0,48,133,147,44.39551544,-110.5326996,9.1,41.77,0,3880737,10
3881037,261.97,254.8,274.12,135.8,261.82,91.286,-1.58,-1.327,-5,2.2,2.29,1.15,2.25,0,48,135,145,44.39551544,-110.5326996,9.1,41.77,0,3880787,10
3881087,262.02,254.8,274.12,135.8,261.85,91.304,-1.576,-1.37,-6,2.2,2.29,1.15,2.25,0,48,136,144,44.39551544,-110.5326996,9.1,41.77,0,3880837,10
3881137,262.07,254.8,274.12,136.2,261.89,91.321,-1.629,-1.415,-7,2.2,2.29,1.15,2.25,0,48,137,143,44.39551544,-110.5327072,9.1,41.77,0,3880887,10
3881187,262.12,261,274.12,136.2,261.94,91.335,-1.561,-1.442,-7,2.2,2.29,1.15,2.25,0,48,137,143,44.39551544,-110.5327072,9.1,41.77,0,3880937,10
3881237,262.17,261,274.12,136.2,262,91.347,-1.614,-1.474,-8,2.2,2.29,1.15,2.26,0,48,138,142,44.39551544,-110.5327072,9.1,41.77,0,3880987,10
3881287,262.22,261,274.12,136.2,262.06,91.358,-1.599,-1.497,-9,2.2,2.29,1.15,2.26,0,48,139,141,44.39551544,-110.5327072,9.1,41.77,0,3881037,10
3881337,262.27,261,274.12,136,262.12,91.367,-1.645,-1.524,-10,2.2,2.29,1.15,2.26,0,48,140,140,44.39551544,-110.5327072,9.1,41.77,0,3881087,10
3881387,262.32,256.2,274.12,136,262.18,91.376,-1.652,-1.546,-10,2.2,2.29,1.15,2.26,0,48,140,140,44.39551544,-110.5327072,9.1,41.77,0,3881137,10
3881437,262.37,256.2,274.12,136.7,262.25,91.384,-1.572,-1.548,-10,2.2,2.29,1.15,2.26,0,48,140,140,44.39551544,-110.5327072,9.1,41.77,0,3881187,10
3881487,262.42,256.2,274.12,136.7,262.32,91.392,-1.534,-1.542,-10,2.2,2.29,1.15,2.26,0,48,140,140,44.39551544,-110.5327072,9.1,41.77,0,3881237,10
3881537,262.47,256.2,274.12,136.5,262.4,91.399,-1.534,-1.538,-10,2.2,2.29,1.15,2.26,0,48,140,140,44.39551544,-110.5327072,9.1,41.77,0,3881287,10
3881587,262.52,258.3,274.12,136.5,262.47,91.406,-1.523,-1.533,-10,2.2,2.29,1.15,2.26,0,48,140,140,44.39551544,-110.5327072,9.1,41.77,0,3881337,10
3881637,262.57,258.3,274.12,136.9,262.55,91.412,-1.477,-1.52,-10,2.2,2.29,1.15,2.27,0,48,140,140,44.39551544,-110.5327072,9.1,41.77,0,3881387,10
3881687,262.62,258.3,274.12,136.9,262.64,91.416,-1.404,-1.497,-10,2.2,2.29,1.15,2.27,0,48,140,140,44.39551544,-110.5327072,9.1,41.77,0,3881437,10
3881737,262.67,258.3,274.12,137.1,262.73,91.419,-1.339,-1.465,-9,2.2,2.29,1.15,2.27,0,48,139,141,44.39551926,-110.5327148,9.1,41.77,0,3881487,10
3881787,262.72,259,274.12,137.1,262.8,91.419,-1.404,-1.452,-9,2.2,2.29,1.15,2.27,0,48,139,141,44.39551926,-110.5327148,9.1,41.77,0,3881537,10
3881837,262.77,259,274.12,137.1,262.89,91.417,-1.324,-1.426,-8,2.2,2.29,1.15,2.27,0,48,138,142,44.39551926,-110.5327148,9.1,41.77,0,3881587,10
3881887,262.82,259,274.12,137.1,262.97,91.413,-1.275,-1.396,-8,2.2,2.29,1.15,2.27,0,48,138,142,44.39551926,-110.5327148,9.1,41.77,0,3881637,10
3881937,262.87,259,274.12,137.7,263.05,91.405,-1.255,-1.367,-7,2.2,2.29,1.15,2.27,0,48,137,143,44.39551926,-110.5327148,9.1,41.77,0,3881687,10
3881987,262.92,255.5,274.12,137.7,263.14,91.395,-1.191,-1.331,-6,2.2,2.29,1.15,2.27,0,48,136,144,44.39551926,-110.5327148,9.1,41.77,0,3881737,10
3882037,262.97,255.5,274.12,137.7,263.21,91.381,-1.187,-1.3,-6,2.2,2.29,1.15,2.27,0,48,136,144,44.39551926,-110.5327148,9.1,41.77,0,3881787,10
3882087,263.02,255.5,274.12,137.7,263.29,91.365,-1.122,-1.263,-5,2.2,2.29,1.15,2.27,0,48,135,145,44.39551926,-110.5327148,9.1,41.77,0,3881837,10
3882137,263.07,255.5,274.12,137.5,263.37,91.345,-1.015,-1.213,-4,2.2,2.29,1.15,2.27,0,48,134,146,44.39551926,-110.5327148,9.1,41.77,0,3881887,10
3882187,263.12,256.3,274.12,137.5,263.45,91.321,-1.011,-1.171,-3,2.2,2.29,1.15,2.28,0,48,133,147,44.39551926,-110.5327148,9.1,41.77,0,3881937,10
3882237,263.17,256.3,274.12,137.3,263.54,91.294,-0.885,-1.114,-1,2.2,2.29,1.15,2.28,0,48,131,149,44.39551926,-110.5327148,9.1,41.77,0,3881987,10
3882287,263.22,256.3,274.12,137.3,263.62,91.264,-0.756,-1.043,0,2.2,2.29,1.15,2.28,0,48,130,150,44.39551926,-110.5327148,9.1,41.77,0,3882037,10
3882337,263.27,256.3,274.12,138.1,263.7,91.231,-0.771,-0.989,0,2.2,2.29,1.15,2.28,0,48,130,150,44.39551926,-110.5327148,9.1,41.77,0,3882087,10
3882387,263.32,256,274.12,138.1,263.77,91.198,-0.76,-0.942,2,2.2,2.29,1.15,2.28,0,48,128,152,44.39551926,-110.5327148,9.1,41.77,0,3882137,10
3882437,263.37,256,274.12,137.9,263.83,91.164,-0.76,-0.904,2,2.2,2.29,1.15,2.28,0,48,128,152,44.39551926,-110.5327148,9.1,41.77,0,3882187,10
3882487,263.42,256,274.12,137.9,263.89,91.132,-0.74,-0.87,3,2.2,2.29,1.15,2.28,0,48,127,153,44.39551926,-110.5327148,9.1,41.77,0,3882237,10
3882537,263.47,256,274.12,137.9,263.94,91.102,-0.706,-0.835,4,2.2,2.29,1.15,2.28,0,48,126,154,44.39551926,-110.5327225,9.1,41.77,0,3882287,10
3882587,263.52,259.4,274.12,137.9,263.99,91.073,-0.714,-0.81,5,2.2,2.29,1.15,2.28,0,48,125,155,44.39551926,-110.5327225,9.1,41.77,0,3882337,10
3882637,263.57,259.4,274.12,137.7,264.04,91.048,-0.721,-0.791,5,2.2,2.29,1.15,2.28,0,48,125,155,44.39551926,-110.5327225,9.1,41.77,0,3882387,10
3882687,263.62,259.4,274.12,137.7,264.09,91.025,-0.657,-0.764,6,2.2,2.29,1.15,2.28,0,48,124,156,44.39551926,-110.5327225,9.1,41.77,0,3882437,10
3882737,263.67,259.4,274.12,137.9,264.13,91.005,-0.71,-0.751,6,2.2,2.29,1.15,2.28,0,48,124,156,44.39551926,-110.5327225,9.1,41.77,0,3882487,10
3882787,263.72,261.3,277.52,137.9,264.17,90.987,-0.718,-0.744,6,2.2,2.27,1.15,2.28,0,48,124,156,44.39551926,-110.5327225,9.1,41.77,0,3882537,10
3882837,263.77,261.3,277.52,137.9,264.21,90.972,-0.721,-0.738,7,2.2,2.27,1.15,2.28,0,48,123,157,44.39551926,-110.5327225,9.1,41.77,0,3882587,10
3882887,263.82,261.3,277.52,137.9,264.24,90.959,-0.786,-0.746,6,2.2,2.27,1.15,2.28,0,48,124,156,44.39551926,-110.5327225,9.1,41.77,0,3882637,10
3882937,263.87,261.3,277.52,137.9,264.27,90.948,-0.821,-0.758,6,2.2,2.27,1.15,2.28,0,48,124,156,44.39551926,-110.5327225,9.1,41.77,0,3882687,10
3882987,263.92,259.8,277.52,137.9,264.29,90.941,-0.882,-0.779,6,2.2,2.27,1.15,2.28,0,48,124,156,44.39551926,-110.5327225,9.1,41.77,0,3882737,10
3883037,263.97,259.8,277.52,137.9,264.31,90.936,-0.962,-0.812,5,2.2,2.27,1.15,2.28,0,48,125,155,44.39551926,-110.5327225,9.1,41.77,0,3882787,10
3883087,264.02,259.8,277.52,137.9,264.32,90.933,-1.011,-0.847,4,2.2,2.27,1.15,2.28,0,48,126,154,44.39551926,-110.5327225,9.1,41.77,0,3882837,10
3883137,264.07,259.8,277.52,138.3,264.35,90.931,-0.943,-0.863,4,2.2,2.27,1.15,2.28,0,48,126,154,44.39551926,-110.5327225,9.1,41.77,0,3882887,10
3883187,264.12,260.4,277.52,138.3,264.38,90.93,-0.962,-0.879,4,2.2,2.27,1.15,2.28,0,48,126,154,44.39551926,-110.5327225,9.1,41.77,0,3882937,10
3883237,264.17,260.4,277.52,138.4,264.42,90.929,-0.973,-0.895,3,2.2,2.27,1.15,2.28,0,48,127,153,44.39551926,-110.5327225,9.1,41.77,0,3882987,10
3883287,264.22,260.4,277.52,138.4,264.45,90.928,-0.973,-0.908,3,2.2,2.27,1.15,2.28,0,48,127,153,44.39551926,-110.5327225,9.1,41.77,0,3883037,10
3883337,264.27,260.4,277.52,138.4,264.48,90.928,-1.065,-0.935,3,2.2,2.27,1.15,2.28,0,48,127,153,44.39551926,-110.5327301,9.1,41.77,0,3883087,10
3883387,264.32,260,277.52,138.4,264.4,90.934,-2.06,-1.145,-1,2.2,2.27,1.15,2.28,0,48,131,149,44.39551926,-110.5327301,9.1,41.77,0,3883137,10
3883437,264.37,260,277.52,138,264.46,90.938,-1.141,-1.142,-1,2.2,2.27,1.15,2.28,0,48,131,149,44.39551926,-110.5327301,9.1,41.77,0,3883187,10
3883487,264.42,260,277.52,138,264.51,90.941,-1.13,-1.137,-1,2.2,2.27,1.15,2.27,0,48,131,149,44.39551926,-110.5327301,9.1,41.77,0,3883237,10
3883537,264.47,260,277.52,138.6,264.56,90.944,-1.191,-1.145,-1,2.2,2.27,1.15,2.27,0,48,131,149,44.39551926,-110.5327301,9.1,41.77,0,3883287,10
3883587,264.52,262.6,277.52,138.6,264.61,90.946,-1.271,-1.168,-2,2.2,2.27,1.15,2.27,0,48,132,148,44.39551926,-110.5327301,9.1,41.77,0,3883337,10
3883637,264.57,262.6,277.52,138.4,264.65,90.949,-1.339,-1.199,-3,2.2,2.27,1.15,2.27,0,48,133,147,44.39551926,-110.5327301,9.1,41.77,0,3883387,10
3883687,264.62,262.6,277.52,138.4,264.69,90.952,-1.374,-1.231,-3,2.2,2.27,1.15,2.27,0,48,133,147,44.39551926,-110.5327301,9.1,41.77,0,3883437,10
3883737,264.67,262.6,277.52,138.2,264.74,90.955,-1.313,-1.245,-4,2.2,2.27,1.15,2.27,0,48,134,146,44.39551926,-110.5327301,9.1,41.77,0,3883487,10
3883787,264.72,262.7,277.52,138.2,264.78,90.959,-1.439,-1.281,-4,2.2,2.27,1.15,2.27,0,48,134,146,44.39551926,-110.5327301,9.1,41.77,0,3883537,10
3883837,264.77,262.7,277.52,138.2,264.83,90.962,-1.431,-1.308,-5,2.2,2.27,1.15,2.27,0,48,135,145,44.39551926,-110.5327301,9.1,41.77,0,3883587,10
3883887,264.82,262.7,277.52,138.2,264.88,90.966,-1.42,-1.328,-6,2.2,2.27,1.15,2.27,0,48,136,144,44.39551926,-110.5327301,9.1,41.77,0,3883637,10
3883937,264.87,262.7,277.52,138.2,264.94,90.97,-1.408,-1.342,-6,2.2,2.27,1.15,2.27,0,48,136,144,44.39551926,-110.5327301,9.1,41.77,0,3883687,10
