GPS Date,8/4/2016,,,,,,,,,,,,,,,,,,,,,,,
GPS Time,21:35:19,,,,,,,,,,,,,,,,,,,,,,,
speedK,0.1,,,,,,,,,,,,,,,,,,,,,,,
speedI,0.3,,,,,,,,,,,,,,,,,,,,,,,
speedD,0,,,,,,,,,,,,,,,,,,,,,,,
angleK,4,,,,,,,,,,,,,,,,,,,,,,,
angleI,0.3,,,,,,,,,,,,,,,,,,,,,,,
angleD,25,,,,,,,,,,,,,,,,,,,,,,,
mode,1,,,,,,,,,,,,,,,,,,,,,,,
compassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
CANcompassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
fixPointLat,44.39710999,,,,,,,,,,,,,,,,,,,,,,,
fixPointLon,-110.5308838,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
3645687,196.72,198.4,210.02,89.6,195.21,2.451,-0.218,-0.726,-11,2.2,1.21,0,1.21,0,48,151,129,44.39709854,-110.5308914,9.1,41.77,0,3645437,0
3645737,196.72,197.1,210.02,89.6,195.32,2.521,-0.027,-0.595,-8,2.2,1.21,0,1.21,0,48,148,132,44.39709854,-110.5308991,9.1,41.77,0,3645487,0
3645787,196.72,197.1,205.44,89.6,195.44,2.585,0.206,-0.446,-5,2.2,1.28,0,1.21,0,48,145,135,44.39709854,-110.5308991,9.1,41.77,0,3645538,0
3645837,196.72,197.1,205.44,89.6,195.54,2.644,0.263,-0.313,-2,2.2,1.28,0,1.21,0,48,142,138,44.39709854,-110.5308991,9.1,41.77,0,3645587,0
3645887,196.72,197.1,205.44,89.6,195.63,2.699,0.457,-0.169,0,2.2,1.28,0,1.22,0,48,140,140,44.39709854,-110.5308991,9.1,41.77,0,3645637,0
3645937,196.72,197,205.44,89.6,195.71,2.749,0.534,-0.038,3,2.2,1.28,0,1.22,0,48,137,143,44.39709854,-110.5308991,9.1,41.77,0,3645687,0
3645987,196.72,197,205.44,89,195.78,2.796,0.557,0.073,6,2.2,1.28,0,1.22,0,48,134,146,44.39709854,-110.5308991,9.1,41.77,0,3645737,0
3646037,196.72,197,205.44,89,195.82,2.841,0.518,0.156,8,2.2,1.28,0,1.22,0,48,132,148,44.39709854,-110.5308991,9.1,41.77,0,3645787,0
3646087,196.72,197,205.44,90.5,195.85,2.884,0.45,0.211,9,2.2,1.28,0,1.23,0,48,131,149,44.39709854,-110.5308991,9.1,41.77,0,3645837,0
3646137,196.72,199.1,205.44,90.5,195.85,2.928,0.351,0.236,10,2.2,1.28,0,1.23,0,48,130,150,44.39709854,-110.5308991,9.1,41.77,0,3645887,0
3646187,196.72,199.1,205.44,91.8,195.84,2.972,0.175,0.223,9,2.2,1.28,0,1.23,0,48,131,149,44.39709854,-110.5308991,9.1,41.77,0,3645937,0
3646237,196.72,199.1,205.44,91.8,195.8,3.018,-0.023,0.175,8,2.2,1.28,0,1.23,0,48,132,148,44.39709854,-110.5308991,9.1,41.77,0,3645987,0
3646287,196.72,199.1,205.44,92.3,195.75,3.066,-0.26,0.092,7,2.2,1.28,0,1.23,0,48,133,147,44.39709854,-110.5308991,9.1,41.77,0,3646037,0
3646337,196.72,201.3,205.44,92.3,195.7,3.118,-0.39,-0.001,4,2.2,1.28,0,1.24,0,48,136,144,44.39709854,-110.5308991,9.1,41.77,0,3646087,0
3646387,196.72,201.3,205.44,92.5,195.63,3.172,-0.637,-0.124,2,2.2,1.28,0,1.24,0,48,138,142,44.39709854,-110.5308991,9.1,41.77,0,3646137,0
3646437,196.72,201.3,205.44,92.5,195.58,3.229,-0.79,-0.252,0,2.2,1.28,0,1.24,0,48,140,140,44.39709854,-110.5308991,9.1,41.77,0,3646187,0
3646487,196.72,201.3,205.44,92.3,195.53,3.288,-0.851,-0.367,-3,2.2,1.28,0,1.24,0,48,143,137,44.39709854,-110.5308991,9.1,41.77,0,3646237,0
3646537,196.72,198.3,205.44,92.3,195.49,3.35,-0.962,-0.48,-6,2.2,1.28,0,1.24,0,48,146,134,44.39709473,-110.5308991,9.1,41.77,0,3646287,0
3646587,196.72,198.3,205.44,92,195.46,3.413,-0.988,-0.577,-8,2.2,1.28,0,1.24,0,48,148,132,44.39709473,-110.5308991,9.1,41.77,0,3646337,0
3646637,196.72,198.3,205.44,92,195.45,3.476,-0.969,-0.652,-10,2.2,1.28,0,1.25,0,48,150,130,44.39709473,-110.5308991,9.1,41.77,0,3646387,0
3646687,196.72,198.3,205.44,91.2,195.45,3.54,-1.008,-0.72,-11,2.2,1.28,0,1.25,0,48,151,129,44.39709473,-110.5308991,9.1,41.77,0,3646437,0
3646737,196.72,198.8,205.44,91.2,195.46,3.603,-1,-0.774,-13,2.2,1.28,0,1.25,0,48,153,127,44.39709473,-110.5308991,9.1,41.77,0,3646487,0
3646787,196.72,198.8,202.08,90.9,195.49,3.664,-0.863,-0.793,-13,2.2,1.38,0,1.25,0,48,153,127,44.39709473,-110.5308991,9.1,41.77,0,3646538,0
3646837,196.72,198.8,202.08,90.9,195.53,3.724,-0.756,-0.787,-13,2.2,1.38,0,1.26,0,48,153,127,44.39709473,-110.5308991,9.1,41.77,0,3646587,0
3646887,196.72,198.8,202.08,90.9,195.6,3.78,-0.599,-0.753,-13,2.2,1.38,0,1.26,0,48,153,127,44.39709473,-110.5308991,9.1,41.77,0,3646637,0
3646937,196.72,197.5,202.08,90.9,195.66,3.833,-0.481,-0.703,-12,2.2,1.38,0,1.27,0,48,152,128,44.39709473,-110.5309067,9.1,41.77,0,3646687,0
3646987,196.72,197.5,202.08,90.3,195.74,3.882,-0.283,-0.625,-10,2.2,1.38,0,1.27,0,48,150,130,44.39709473,-110.5309067,9.1,41.77,0,3646737,0
3647037,196.72,197.5,202.08,90.3,195.82,3.926,-0.157,-0.538,-8,2.2,1.38,0,1.28,0,48,148,132,44.39709473,-110.5309067,9.1,41.77,0,3646787,0
3647087,196.72,197.5,202.08,89.8,195.91,3.967,0.007,-0.436,-6,2.2,1.38,0,1.28,0,48,146,134,44.39709473,-110.5309067,9.1,41.77,0,3646837,0
3647137,196.72,196.9,202.08,89.8,195.98,4.004,0.03,-0.349,-4,2.2,1.38,0,1.29,0,48,144,136,44.39709091,-110.5309067,9.1,41.77,0,3646887,0
3647187,196.72,196.9,202.08,89.4,196.04,4.038,0.083,-0.268,-2,2.2,1.38,0,1.29,0,48,142,138,44.39709091,-110.5309067,9.1,41.77,0,3646937,0
3647237,196.72,196.9,202.08,89.4,196.09,4.069,0.083,-0.203,-1,2.2,1.38,0,1.29,0,48,141,139,44.39709091,-110.5309067,9.1,41.77,0,3646987,0
3647287,196.72,196.9,202.08,89.8,196.14,4.098,0.152,-0.136,0,2.2,1.38,0,1.3,0,48,140,140,44.39709091,-110.5309067,9.1,41.77,0,3647037,0
3647337,196.72,197.1,202.08,89.8,196.17,4.126,0.049,-0.102,0,2.2,1.38,0,1.3,0,48,140,140,44.39709091,-110.5309067,9.1,41.77,0,3647087,0
3647387,196.72,197.1,202.08,90.1,196.19,4.152,0.064,-0.071,1,2.2,1.38,0,1.3,0,48,139,141,44.39709091,-110.5309067,9.1,41.77,0,3647137,0
3647437,196.72,197.1,202.08,90.1,196.21,4.178,0.076,-0.044,2,2.2,1.38,0,1.31,0,48,138,142,44.39709091,-110.5309067,9.1,41.77,0,3647187,0
